Dato,Retning,Hul,Liter,Maskine,Højde,Bemærkning,Person,Cleanup,Brush
29/05/2023,,20,1,,,,,,
30/05/2023,,1,8,,,,,Yes,
30/05/2023,,2,8,,,,,Yes,
30/05/2023,,3,7,,,,,Yes,
30/05/2023,,4,9,,,,,Yes,
30/05/2023,,5,8,,,,,Yes,
30/05/2023,,6,9,,,,,Yes,
30/05/2023,,7,10,,,,,Yes,
30/05/2023,,8,8,,,,,Yes,
30/05/2023,,9,9,,,,,Yes,
30/05/2023,,10,10,,,,,Yes,
30/05/2023,,11,8,,,,,Yes,
30/05/2023,,12,10,,,,,Yes,
30/05/2023,,13,7,,,,,Yes,
30/05/2023,,14,7,,,,,Yes,
30/05/2023,,15,7,,,,,Yes,
30/05/2023,,16,9,,,,,Yes,
30/05/2023,,17,10,,,,,Yes,
30/05/2023,,18,8,,,,,Yes,
30/05/2023,,19,,,,,,Yes,
30/05/2023,,20,,,,,,Yes,
01/06/2023,,1,6,,,,,Yes,
01/06/2023,,2,7,,,,,Yes,
01/06/2023,,3,4,,,,,Yes,
01/06/2023,,4,6,,,,,Yes,
01/06/2023,,5,8,,,,,Yes,
01/06/2023,,6,8,,,,,Yes,
01/06/2023,,7,8,,,,,Yes,
01/06/2023,,8,6,,,,,Yes,
01/06/2023,,9,6,,,,,Yes,
01/06/2023,,10,8,,,,,Yes,
01/06/2023,,11,5,,,,,Yes,
01/06/2023,,12,10,,,,,Yes,
01/06/2023,,13,5,,,,,Yes,
01/06/2023,,14,8,,,,,Yes,
01/06/2023,,15,6,,,,,Yes,
01/06/2023,,16,8,,,,,Yes,
01/06/2023,,17,8,,,,,Yes,
01/06/2023,,18,6,,,,,Yes,
01/06/2023,,19,3,,,,,Yes,
01/06/2023,,20,2,,,,,Yes,
03/06/2023,,1,"5,5",,,,,,
03/06/2023,,2,7,,,,,,
03/06/2023,,3,"4,5",,,,,,
03/06/2023,,4,7,,,,,,
03/06/2023,,5,10,,,,,,
03/06/2023,,6,"8,5",,,,,,
03/06/2023,,7,10,,,,,,
03/06/2023,,8,"6,5",,,,,,
03/06/2023,,9,6,,,,,,
03/06/2023,,10,8,,,,,,
03/06/2023,,11,"6,5",,,,,,
03/06/2023,,12,9,,,,,,
03/06/2023,,13,5,,,,,,
03/06/2023,,14,6,,,,,,
03/06/2023,,15,7,,,,,,
03/06/2023,,16,7,,,,,,
03/06/2023,,17,7,,,,,,
03/06/2023,,18,4,,,,,,
03/06/2023,,19,"3,5",,,,,,
03/06/2023,,20,"1,5",,,,,,
04/06/2023,,1,5,,,,,,
04/06/2023,,2,7,,,,,,
04/06/2023,,3,4,,,,,,
04/06/2023,,4,7,,,,,,
